@RELATION cleaned_computed_insight_success_of_active_sellers_grouped

@ATTRIBUTE listed_products NUMERIC
@ATTRIBUTE total_units_sold NUMERIC
@ATTRIBUTE mean_units_sold_per_product NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE merchant_ratings_count NUMERIC
@ATTRIBUTE mean_product_prices NUMERIC
@ATTRIBUTE mean_retail_prices NUMERIC
@ATTRIBUTE average_discount NUMERIC
@ATTRIBUTE mean_product_ratings_count NUMERIC
@ATTRIBUTE total_urgency_count NUMERIC
@ATTRIBUTE urgency_text_rate_group {none,low,medium,high}

@DATA
1,10000,10000.0,4.033,55089.0,6.0,9.0,34.0,2211.0,0.0,none
1,10000,10000.0,4.053,7356.0,8.0,7.0,-14.0,1312.0,1.0,high
1,10000,10000.0,4.054,7544.0,5.68,7.0,19.0,1232.0,0.0,none
1,10000,10000.0,4.055,5993.0,6.0,7.0,15.0,1238.0,1.0,high
1,10000,10000.0,4.066,34311.0,7.0,6.0,-16.0,2483.0,0.0,none
1,10000,10000.0,4.071,27719.0,14.0,75.0,82.0,2514.0,0.0,none
1,10000,10000.0,4.074,10665.0,6.0,8.0,25.0,1010.0,1.0,high
1,10000,10000.0,4.077,13399.0,8.0,7.0,-14.0,2604.0,1.0,high
1,10000,10000.0,4.079,12004.0,9.0,8.0,-12.0,3101.0,0.0,none
1,10000,10000.0,4.085,6651.0,8.0,22.0,64.0,904.0,1.0,high
1,10000,10000.0,4.088,117487.0,12.0,13.0,8.0,893.0,0.0,none
1,10000,10000.0,4.101,11264.0,7.0,6.0,-16.0,3078.0,0.0,none
1,10000,10000.0,4.105,2399.0,1.91,2.0,5.0,697.0,0.0,none
1,10000,10000.0,4.109,19436.0,11.0,10.0,-10.0,1780.0,0.0,none
1,10000,10000.0,4.115,15502.0,11.0,43.0,75.0,2521.0,0.0,none
1,10000,10000.0,4.122,9325.0,11.0,12.0,9.0,666.0,0.0,none
1,10000,10000.0,4.123,31559.0,6.0,142.0,96.0,1941.0,0.0,none
1,10000,10000.0,4.125,9938.0,7.0,6.0,-16.0,1797.0,0.0,none
1,10000,10000.0,4.145,3977.0,7.0,16.0,57.0,1116.0,0.0,none
1,10000,10000.0,4.148,14502.0,13.0,11.0,-18.0,2901.0,1.0,high
1,10000,10000.0,4.149,21412.0,4.0,4.0,0.0,1412.0,1.0,high
1,10000,10000.0,4.151,27055.0,5.0,5.0,0.0,3208.0,1.0,high
1,10000,10000.0,4.152,120781.0,11.0,16.0,32.0,1586.0,0.0,none
1,10000,10000.0,4.162,8727.0,7.0,9.0,23.0,1838.0,1.0,high
1,10000,10000.0,4.181,11148.0,8.0,7.0,-14.0,1473.0,0.0,none
1,10000,10000.0,4.181,2975.0,11.0,11.0,0.0,1520.0,0.0,none
1,10000,10000.0,4.183,28159.0,6.0,76.0,93.0,1741.0,0.0,none
1,10000,10000.0,4.188,2359.0,6.0,10.0,40.0,1496.0,1.0,high
1,10000,10000.0,4.192,2888.0,9.0,59.0,85.0,1721.0,0.0,none
1,10000,10000.0,4.203,22173.0,13.0,84.0,85.0,2328.0,1.0,high
1,10000,10000.0,4.209,4295.0,9.0,8.0,-12.0,3024.0,1.0,high
1,10000,10000.0,4.224,16064.0,14.0,12.0,-16.0,3574.0,0.0,none
1,10000,10000.0,4.228,30292.0,8.0,25.0,68.0,2324.0,0.0,none
1,10000,10000.0,4.238,783.0,1.77,2.0,12.0,510.0,0.0,none
1,10000,10000.0,4.241,4907.0,8.0,11.0,28.0,1715.0,0.0,none
1,10000,10000.0,4.251,3309.0,18.0,17.0,-5.0,3229.0,0.0,none
1,10000,10000.0,4.259,20169.0,8.0,11.0,28.0,3345.0,1.0,high
1,10000,10000.0,4.28,11596.0,6.0,31.0,81.0,2789.0,0.0,none
1,10000,10000.0,4.293,9661.0,7.0,6.0,-16.0,3079.0,0.0,none
1,10000,10000.0,4.301,23719.0,13.0,84.0,85.0,2592.0,0.0,none
1,10000,10000.0,4.301,17621.0,16.0,14.0,-14.0,3075.0,1.0,high
1,10000,10000.0,4.308,9981.0,13.0,11.0,-18.0,1184.0,0.0,none
1,10000,10000.0,4.311,230951.0,4.0,4.0,0.0,2150.0,0.0,none
1,10000,10000.0,4.314,33675.0,6.0,6.0,0.0,2808.0,1.0,high
1,10000,10000.0,4.322,1659.0,8.0,47.0,83.0,1631.0,0.0,none
1,10000,10000.0,4.324,2736.0,6.0,6.0,0.0,1669.0,0.0,none
1,10000,10000.0,4.343,16091.0,9.0,17.0,48.0,2253.0,0.0,none
1,10000,10000.0,4.353,12881.0,17.0,15.0,-13.0,3040.0,0.0,none
1,10000,10000.0,4.356,2174765.0,5.66,5.0,-13.0,2068.0,0.0,none
1,10000,10000.0,4.395,85562.0,4.66,5.0,7.0,1594.0,0.0,none
1,10000,10000.0,4.396,11333.0,3.67,4.0,9.0,2072.0,0.0,none
2,10000,5000.0,3.775,6876.0,8.5,8.0,-4.0,486.0,1.0,medium
2,10000,5000.0,3.818,2127.0,8.5,8.0,-5.0,707.0,0.0,none
2,10000,5000.0,3.88,20037.0,11.0,10.0,-10.0,402.0,1.0,medium
2,10000,5000.0,4.048,32778.0,5.0,6.0,17.0,824.0,1.0,medium
2,10000,5000.0,4.07,5019.0,5.0,8.0,38.0,747.0,1.0,medium
2,10000,5000.0,4.082,8547.0,7.0,159.0,96.0,1632.0,1.0,medium
2,10000,5000.0,4.106,31916.0,13.0,11.5,-12.0,1055.0,0.0,none
2,10000,5000.0,4.124,13127.0,10.0,18.0,30.0,275.0,1.0,medium
2,10000,5000.0,4.217,8242.0,7.0,26.0,74.0,542.0,1.0,medium
2,10000,5000.0,4.286,99283.0,4.75,4.5,-4.0,749.0,1.0,medium
4,8000,2000.0,3.954,73271.0,9.75,11.25,5.0,563.0,1.0,medium
3,7000,2333.0,4.062,3592.0,8.67,24.33,27.0,266.0,1.0,medium
3,7000,2333.0,4.08,50864.0,6.27,14.33,43.0,432.0,0.0,none
3,7000,2333.0,4.147,5042.0,10.33,27.0,36.0,433.0,0.0,none
4,6200,1550.0,3.858,3053.0,5.75,5.5,-3.0,137.0,0.0,none
4,6200,1550.0,3.968,7076.0,8.5,33.0,36.0,193.0,3.0,high
4,6020,1505.0,3.966,27175.0,8.95,42.75,37.0,325.0,1.0,medium
3,6010,2003.0,4.254,6357.0,5.97,5.33,-11.0,197.0,2.0,high
2,6000,3000.0,3.777,779.0,12.0,11.0,-9.0,491.0,0.0,none
2,6000,3000.0,3.871,3460.0,7.5,6.5,-15.0,743.0,0.0,none
2,6000,3000.0,4.152,5819.0,9.0,8.0,-12.0,481.0,0.0,none
2,6000,3000.0,4.194,124563.0,10.0,9.0,-11.0,484.0,0.0,none
2,6000,3000.0,4.223,13884.0,3.5,3.5,0.0,858.0,0.0,none
2,6000,3000.0,4.268,30225.0,9.5,61.0,82.0,985.0,1.0,medium
5,5400,1080.0,3.838,91631.0,2.31,10.0,75.0,187.0,2.0,medium
4,5250,1313.0,4.074,14676.0,7.75,13.5,12.0,308.0,1.0,medium
5,5250,1050.0,4.002,25222.0,6.8,32.4,68.0,279.0,2.0,medium
3,5200,1733.0,3.696,4435.0,3.0,46.67,92.0,529.0,1.0,medium
3,5200,1733.0,4.301,225438.0,8.67,8.0,-7.0,366.0,1.0,medium
2,5100,2550.0,3.832,18138.0,3.37,43.5,54.0,154.0,0.0,none
2,5100,2550.0,3.854,2363.0,10.98,10.0,-6.0,368.0,1.0,medium
2,5100,2550.0,3.955,38258.0,12.5,35.5,33.0,458.0,0.0,none
2,5100,2550.0,4.065,8117.0,17.0,64.0,36.0,386.0,0.0,none
2,5100,2550.0,4.216,7851.0,6.0,17.0,65.0,252.0,0.0,none
2,5100,2550.0,4.218,5841.0,10.0,9.5,-3.0,1092.0,0.0,none
2,5100,2550.0,4.236,2199.0,6.34,13.5,28.0,425.0,1.0,medium
2,5100,2550.0,4.386,73595.0,11.5,128.5,91.0,277.0,2.0,high
1,5000,5000.0,3.682,1021.0,12.0,11.0,-9.0,887.0,0.0,none
