@RELATION summer_products_rating_group_classification

@ATTRIBUTE price NUMERIC
@ATTRIBUTE retail_price NUMERIC
@ATTRIBUTE units_sold NUMERIC
@ATTRIBUTE rating_count NUMERIC
@ATTRIBUTE rating_five_count NUMERIC
@ATTRIBUTE rating_four_count NUMERIC
@ATTRIBUTE rating_three_count NUMERIC
@ATTRIBUTE rating_two_count NUMERIC
@ATTRIBUTE rating_one_count NUMERIC
@ATTRIBUTE product_variation_inventory NUMERIC
@ATTRIBUTE countries_shipped_to NUMERIC
@ATTRIBUTE merchant_rating_count NUMERIC
@ATTRIBUTE merchant_rating NUMERIC
@ATTRIBUTE rating_group {low,medium,high}  % label

@DATA
8.0,8,5000,579,295.0,119.0,87.0,42.0,36.0,50,41,23832,4.020434709634105,high
6.0,41,5000,939,496.0,209.0,124.0,49.0,61.0,47,41,9926,3.9492242595204514,high
11.0,89,100,48,22.0,8.0,9.0,3.0,6.0,4,37,104269,4.253287170683521,medium
1.72,56,100,6,3.0,1.0,1.0,1.0,0.0,5,27,1338,4.097159940209267,medium
5.78,26,10000,1426,659.0,287.0,219.0,112.0,149.0,50,37,3549,3.9822485207100593,medium
11.0,10,5000,1109,658.0,217.0,131.0,33.0,70.0,50,48,5781,4.274865940148763,high
12.0,11,1000,646,261.0,140.0,109.0,43.0,93.0,50,24,870,3.891954022988506,medium
8.0,42,1000,409,158.0,67.0,74.0,41.0,69.0,50,41,8433,3.8759634768172657,medium
1.89,2,100,39,16.0,8.0,2.0,4.0,9.0,1,33,540,4.105555555555555,medium
12.0,17,1000,103,60.0,20.0,13.0,5.0,5.0,50,43,20478,3.9103428069147377,high
6.0,6,10000,569,243.0,90.0,88.0,59.0,89.0,2,20,7314,3.938200710965272,medium
4.0,4,5000,1754,1064.0,353.0,184.0,65.0,88.0,4,18,15538,4.156197708842837,high
7.0,33,100,8,3.0,0.0,1.0,0.0,4.0,29,43,41623,3.9174494870624414,low
8.0,7,100,21,9.0,7.0,2.0,0.0,3.0,50,21,6126,4.3183153770812925,medium
5.0,5,100,6,4.0,1.0,1.0,0.0,0.0,50,45,10600,3.8675471698113206,high
5.84,5,10000,1312,491.0,217.0,228.0,145.0,231.0,43,48,32168,3.884543645859239,medium
8.0,13,10000,2753,1428.0,522.0,385.0,171.0,247.0,50,44,33148,3.97562447206468,medium
19.0,21,5000,1561,897.0,289.0,149.0,74.0,152.0,1,40,9116,4.092913558578323,high
11.0,10,100,13,5.0,3.0,1.0,2.0,2.0,50,42,885,4.15593220338983,medium
3.85,10,50,3,1.0,1.0,0.0,0.0,1.0,7,25,7676,4.039473684210527,medium
9.0,48,1000,135,69.0,25.0,23.0,10.0,8.0,50,25,6632,3.7487937273823886,high
8.0,9,7,0,0.0,0.0,0.0,0.0,0.0,5,38,108048,4.052504442470013,high
11.0,10,1000,221,103.0,59.0,33.0,7.0,19.0,6,36,73119,4.004267016780864,medium
6.0,13,20000,1124,572.0,183.0,153.0,62.0,154.0,50,40,15076,4.084969487927832,medium
5.0,33,100000,13789,6862.0,2836.0,2131.0,901.0,1059.0,50,41,366898,4.036080872613097,medium
16.0,14,100,82,43.0,18.0,11.0,2.0,8.0,50,36,514,4.217898832684825,high
13.0,11,100,11,7.0,1.0,0.0,1.0,2.0,50,28,38,3.473684210526316,medium
9.0,34,100,28,8.0,6.0,3.0,4.0,7.0,50,40,1472,3.5346467391304346,medium
7.0,6,100,11,4.0,4.0,0.0,1.0,2.0,50,104,855,4.264327485380117,medium
6.0,6,20000,4082,2138.0,667.0,637.0,255.0,385.0,50,40,45964,3.998651118266469,medium
8.0,7,10000,903,378.0,190.0,143.0,80.0,112.0,50,35,12974,3.965700632033297,medium
4.7,17,100,10,4.0,3.0,2.0,1.0,0.0,3,43,80093,4.006692220293909,medium
